Property : optional getter : optional setter	Label	Section	Editor	User Visible	Read Only	Group	Default	Options	Subsection	min	max	step						
menuName	Menu panel stack	Basic	com.livecode.pi.string	TRUE	FALSE													
minHeight	Min height	Position	com.livecode.pi.number	TRUE	FALSE		32											
minWidth	Min width	Position	com.livecode.pi.number	TRUE	FALSE		32											
mirrored	Mirrored	Basic	com.livecode.pi.boolean	TRUE	FALSE		FALSE											
multipleHilites	Multiline Hilites	Basic	com.livecode.pi.boolean	TRUE	FALSE		FALSE											
name	Name	Basic	com.livecode.pi.string	TRUE	FALSE		no_default											
nonContiguousHilites	Non-contiguous	Basic	com.livecode.pi.boolean	TRUE	FALSE													
number	Number	Advanced	com.livecode.pi.integer	TRUE	TRUE		no_default			1		1						
numberFormat	Value format	Basic	com.livecode.pi.string	TRUE	FALSE													
opaque	Opaque	Basic	com.livecode.pi.boolean	TRUE	FALSE													
orientation	Orientation	Basic	com.livecode.pi.enum	TRUE	TRUE			"Horizontal,Vertical"										
outerGlow	Outer glow	Effects	com.livecode.pi.graphicEffect	TRUE	FALSE			"popup:effectColor,effectBlendMode,effectFilter,effectSize,effectSpread"										
pageInc	Scroll distance on bar click	Basic	com.livecode.pi.number	TRUE	FALSE		8192											
palindromeFrames	Repeat in reverse	Basic	com.livecode.pi.boolean	TRUE	FALSE													
pan	Pan	Quicktime	com.livecode.pi.number	TRUE	FALSE													
playLoudness	Volume	Basic	com.livecode.pi.integer	TRUE	FALSE					0	100	1						
playRate	Speed	Basic	com.livecode.pi.integer	TRUE	FALSE													
playSelection	Play selection only	Basic	com.livecode.pi.boolean	TRUE	FALSE													
points	Points	Basic	com.livecode.pi.text	TRUE	FALSE													
polySides	Sides	Basic	com.livecode.pi.number	TRUE	FALSE		8											
profile	Property profile	Profiles	com.livecode.pi.propertyProfile	TRUE	FALSE													
radioBehavior	Hilite one radio button at a time	Basic	com.livecode.pi.boolean	TRUE	FALSE		TRUE											
repeatCount	Repeat	Basic	com.livecode.pi.integer	TRUE	FALSE					0		1						
resizable	Resizable	Position	com.livecode.pi.boolean	TRUE	FALSE		TRUE											
resizeQuality	Resize quality	Basic	com.livecode.pi.enum	TRUE	FALSE		normal	"best,good,normal"										
right::revIDESetRectProperty	Right	Position	com.livecode.pi.integer	TRUE	FALSE		no_default					1						
roundRadius	Corner radius	Basic	com.livecode.pi.number	TRUE	FALSE													
scaleFactor	Scale factor	Basic	com.livecode.pi.number	TRUE	FALSE													
scrollbarWidth	Scrollbar width	Basic	com.livecode.pi.enum	TRUE	FALSE		16	"12,16,20"										
selectGroupedControls	Select grouped controls	Basic	com.livecode.pi.boolean	TRUE	FALSE		TRUE											
shadow	Shadow	Icons	com.livecode.pi.boolean	TRUE	FALSE													
shadowColor	Shadow color	Colors	com.livecode.pi.color	TRUE	FALSE	Shadow fill												
shadowOffset	Shadow offset	Icons	com.livecode.pi.integer	TRUE	FALSE		4			-128	127	1						
shadowPattern	Shadow pattern	Colors	com.livecode.pi.pattern	TRUE	FALSE	Shadow fill												
sharedBehavior	Shared group	Basic	com.livecode.pi.boolean	TRUE	FALSE		FALSE											
